Time,Signal
1,391
2,1022
3,1022
4,1023
5,1022
6,1022
7,1021
8,1022
9,1022
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1022
20,1022
21,1022
22,1022
23,1022
24,1022
25,1022
26,1022
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1021
36,1022
37,1022
38,1021
39,1021
40,1022
41,1021
42,1022
43,1022
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1022
53,1022
54,1022
55,1022
56,1021
57,1022
58,1022
59,1022
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,1022
70,1021
71,1022
72,1022
73,1022
74,1022
75,1022
76,1022
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1021
86,1021
87,1022
88,1022
89,1022
90,1022
91,1022
92,1022
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,1022
103,1022
104,1022
105,1022
106,1022
107,1021
108,1021
109,1022
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,1021
119,1022
120,1022
121,1022
122,1021
123,1022
124,1022
125,1022
126,1022
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1022
136,1022
137,1022
138,1022
139,1022
140,1022
141,1022
142,1022
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1021
153,1022
154,1022
155,1022
156,1022
157,1022
158,1022
159,1022
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,1021
169,1022
170,1022
171,1022
172,1022
173,1021
174,1022
175,1022
176,1022
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,1022
186,1021
187,1022
188,1022
189,1022
190,1022
191,1022
192,1022
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,1022
203,1022
204,1022
205,1022
206,1022
207,1022
208,1022
209,1022
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,1022
219,1021
220,1022
221,1021
222,1022
223,1022
224,1022
