Time,Signal
1,366
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1022
12,1022
13,1022
14,1022
15,1021
16,1021
17,1022
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1022
27,1022
28,1022
29,1022
30,1022
31,1022
32,1022
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1022
41,1022
42,1022
43,1022
44,1022
45,1022
46,1022
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1022
55,1022
56,1022
57,1021
58,1022
59,1022
60,1022
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,1022
69,1022
70,1022
71,1021
72,1021
73,1022
74,1022
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1022
83,1022
84,1021
85,1022
86,1021
87,1022
88,1022
89,1022
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1022
98,1022
99,1022
100,1021
101,1022
102,1022
103,1022
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,1022
112,1021
113,1022
114,1022
115,1022
116,1022
117,1022
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1022
126,1022
127,1022
128,1022
129,1021
130,1022
131,1022
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,1022
140,1022
141,1022
142,1021
143,1022
144,1022
145,1022
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,1021
154,1021
155,1022
156,1022
157,1022
158,1022
159,1022
160,1022
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,1022
169,1022
170,1022
171,1022
172,1022
173,1022
174,1022
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,1022
183,1022
184,1021
185,1022
186,1022
187,1022
188,1022
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1022
197,1022
198,1022
199,1021
200,1022
201,1022
202,1022
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1022
211,1022
212,1022
213,1022
214,1021
215,1022
216,1022
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1022
225,1022
226,1022
227,1021
228,1022
229,1022
230,1022
231,1022
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,1022
240,1022
241,1022
242,1021
243,1022
244,1022
245,1022
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1022
254,1022
255,1022
256,1022
257,1022
258,1022
259,1022
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,1022
268,1021
269,1022
270,1021
271,1022
272,1022
273,1022
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,1022
282,1022
283,1021
284,1022
285,1023
286,1022
287,1022
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,1022
297,1022
298,1022
299,1022
300,1021
301,1022
302,1022
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,1021
311,1022
312,1022
313,1022
314,1022
