Time,Signal
1,393
2,704
3,771
4,822
5,861
6,892
7,915
8,936
9,470
10,358
11,277
12,218
13,173
14,138
15,110
16,565
17,666
18,739
19,797
20,841
21,876
22,903
23,462
24,351
25,273
26,213
27,170
28,135
29,108
30,530
31,640
32,720
33,781
34,829
35,866
36,897
37,488
38,369
39,285
40,224
41,177
42,141
43,112
44,90
45,619
46,705
47,769
48,820
49,859
50,891
51,915
52,391
53,301
54,235
55,185
56,148
57,118
58,95
59,598
60,688
61,757
62,810
63,851
64,885
65,911
66,413
67,317
68,247
69,195
70,154
71,123
72,99
73,576
74,673
75,744
76,800
77,844
78,879
79,906
80,438
81,334
82,260
83,204
84,162
85,130
86,103
87,551
88,654
89,731
90,789
91,835
92,871
93,901
94,465
95,353
96,274
97,215
98,170
99,135
100,109
101,524
102,635
103,716
104,778
105,827
106,865
107,895
108,924
109,373
110,288
111,225
112,178
113,142
114,114
115,92
116,615
117,702
118,767
119,818
120,857
121,889
122,915
123,395
124,304
125,238
126,188
127,149
128,118
129,95
130,594
131,686
132,755
133,807
134,849
135,884
136,910
137,418
138,320
139,250
140,197
141,156
142,125
143,100
144,571
145,668
146,742
147,798
148,843
149,877
150,905
151,443
152,338
153,263
154,207
155,163
156,131
157,105
158,546
159,650
160,728
161,787
162,834
163,871
164,899
165,471
166,357
167,277
168,218
169,172
170,137
171,110
172,519
173,632
174,714
175,776
176,825
177,864
178,894
179,923
180,377
181,292
182,228
183,181
184,144
185,114
186,92
187,611
188,698
189,765
190,816
191,856
192,888
193,913
194,399
195,307
196,240
197,189
198,151
199,120
200,96
201,589
202,683
203,752
204,806
205,849
206,883
207,909
208,422
209,324
210,252
211,199
212,158
213,126
214,100
215,566
216,665
217,739
218,795
219,841
220,876
221,903
222,448
223,341
224,266
225,209
226,166
227,132
228,105
229,541
230,647
231,726
232,785
233,832
234,869
235,899
236,476
237,361
238,279
239,219
240,174
241,138
242,111
243,513
244,627
245,711
246,774
247,823
248,862
249,893
250,917
251,381
252,294
253,231
254,182
255,145
256,115
257,92
258,608
259,695
260,761
261,814
262,855
263,887
264,912
265,404
266,311
267,243
268,191
269,152
270,121
271,97
272,584
273,679
274,750
275,804
276,847
277,881
278,908
279,427
280,327
281,255
282,201
283,159
284,127
285,101
286,561
287,662
288,737
289,794
290,839
291,875
292,903
293,453
294,345
295,268
296,211
297,167
298,133
299,106
300,536
301,644
302,722
303,784
304,831
305,868
306,897
307,482
308,364
309,282
310,222
311,175
312,139
313,111
314,91
315,624
316,708
317,771
318,821
319,861
320,892
321,916
322,385
323,297
324,233
325,184
326,146
327,116
328,94
329,603
330,692
331,760
332,812
333,853
334,886
335,911
336,408
337,313
338,245
339,193
340,153
341,122
342,98
343,582
344,676
345,747
346,803
347,846
348,880
349,907
350,432
351,330
352,257
353,203
354,160
355,128
356,102
357,557
358,658
359,734
360,792
361,837
362,873
363,902
364,459
365,349
366,271
367,213
368,169
369,134
370,107
371,531
372,639
373,720
374,781
375,829
376,866
377,896
378,487
379,368
380,285
381,224
382,177
383,140
384,113
385,91
386,619
387,705
388,770
389,820
390,859
391,891
392,915
393,390
394,301
395,235
396,186
397,148
398,118
399,95
400,598
401,689
402,757
403,810
404,852
405,885
406,910
407,412
408,317
409,247
410,195
411,154
412,123
413,99
414,577
415,672
416,745
417,800
418,844
419,879
420,906
421,437
422,334
423,260
424,204
425,162
426,130
427,103
428,551
429,655
430,731
431,791
432,836
433,872
434,900
435,464
436,352
437,274
438,215
439,170
440,135
441,108
442,526
443,636
444,717
445,779
446,827
447,865
448,895
449,924
450,372
451,289
452,226
453,178
454,142
455,113
456,91
457,616
458,702
459,767
460,818
461,858
462,889
463,914
464,394
465,303
466,237
467,187
468,149
469,118
470,95
471,595
472,686
473,755
474,809
475,850
476,884
477,910
478,416
479,320
480,250
481,196
482,156
483,124
484,100
485,572
486,669
487,742
488,799
489,842
490,876
491,905
492,442
493,337
494,262
495,206
496,164
497,130
498,104
499,547
500,651
501,728
502,788
503,834
504,871
505,899
506,470
507,356
508,277
509,217
510,172
511,136
512,109
513,520
514,632
515,715
516,776
517,826
518,864
519,894
520,923
521,376
522,291
523,227
524,180
525,143
526,114
527,92
528,611
529,699
530,765
531,816
532,857
533,888
534,914
535,398
536,306
537,239
538,189
539,150
540,120
541,96
542,590
543,683
544,753
545,807
546,849
547,882
548,909
549,421
550,323
551,252
552,199
553,158
554,126
555,101
556,567
557,666
558,739
559,797
560,841
561,876
562,904
563,447
564,341
565,265
